round(f.occupancyPercentage * f.seatsCapacity/100),f.operator,entrada.iata,salida.iata,entrada.airportName,salida.airportName
103.0,AEA,BCN,MAD,Barcelona International Airport,Adolfo Suárez Madrid–Barajas Airport
87.0,VLG,BCN,MAD,Barcelona International Airport,Adolfo Suárez Madrid–Barajas Airport
103.0,RYR,BCN,MAH,Barcelona International Airport,Menorca Airport
96.0,VLG,BCN,MAH,Barcelona International Airport,Menorca Airport
87.0,VLG,BCN,MAH,Barcelona International Airport,Menorca Airport
87.0,VLG,BCN,MAH,Barcelona International Airport,Menorca Airport
87.0,VLG,BCN,MAH,Barcelona International Airport,Menorca Airport
87.0,VLG,BCN,MAH,Barcelona International Airport,Menorca Airport
87.0,VLG,BCN,MAH,Barcelona International Airport,Menorca Airport
96.0,VLG,BCN,MAH,Barcelona International Airport,Menorca Airport
87.0,EZY,BCN,MAN,Barcelona International Airport,Manchester Airport
103.0,RYR,BCN,MAN,Barcelona International Airport,Manchester Airport
103.0,RYR,BCN,MAN,Barcelona International Airport,Manchester Airport
72.0,CLH,BCN,MUC,Barcelona International Airport,Munich Airport
96.0,VLG,BCN,MUC,Barcelona International Airport,Munich Airport
97.0,SWT,BCN,MXP,Barcelona International Airport,Malpensa International Airport
96.0,VLG,BCN,MXP,Barcelona International Airport,Malpensa International Airport
87.0,VLG,BCN,MXP,Barcelona International Airport,Malpensa International Airport
103.0,RYR,BCN,NAP,Barcelona International Airport,Naples International Airport
87.0,VLG,BCN,NAP,Barcelona International Airport,Naples International Airport
87.0,MAC,BCN,NDR,Barcelona International Airport,Nador International Airport
87.0,MAC,BCN,NDR,Barcelona International Airport,Nador International Airport
87.0,VLG,BCN,NTE,Barcelona International Airport,Nantes Atlantique Airport
103.0,RYR,BCN,OPO,Barcelona International Airport,Francisco de Sá Carneiro Airport
87.0,VLG,BCN,OPO,Barcelona International Airport,Francisco de Sá Carneiro Airport
87.0,VLG,BCN,ORY,Barcelona International Airport,Paris-Orly Airport
87.0,VLG,BCN,ORY,Barcelona International Airport,Paris-Orly Airport
87.0,VLG,BCN,ORY,Barcelona International Airport,Paris-Orly Airport
107.0,VLG,BCN,ORY,Barcelona International Airport,Paris-Orly Airport
87.0,VLG,BCN,OVD,Barcelona International Airport,Asturias Airport
17.0,SWT,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
103.0,RYR,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
103.0,RYR,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
103.0,AEA,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
103.0,AEA,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
103.0,AEA,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
103.0,AEA,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
107.0,VLG,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
87.0,VLG,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
107.0,VLG,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
107.0,VLG,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
87.0,VLG,BCN,PMO,Barcelona International Airport,Falcone–Borsellino Airport
103.0,RYR,BCN,PRG,Barcelona International Airport,Václav Havel Airport Prague
107.0,VLG,BCN,SCQ,Barcelona International Airport,Santiago de Compostela Airport
103.0,RYR,BCN,SCQ,Barcelona International Airport,Santiago de Compostela Airport
96.0,VLG,BCN,SCQ,Barcelona International Airport,Santiago de Compostela Airport
103.0,RYR,BCN,SDR,Barcelona International Airport,Santander Airport
97.0,AWC,BCN,SEN,Barcelona International Airport,Southend Airport
107.0,WZZ,BCN,SOF,Barcelona International Airport,Sofia Airport
103.0,RYS,BCN,SOF,Barcelona International Airport,Sofia Airport
103.0,RYR,BCN,STN,Barcelona International Airport,London Stansted Airport
103.0,RYR,BCN,STN,Barcelona International Airport,London Stansted Airport
72.0,EWG,BCN,STR,Barcelona International Airport,Stuttgart Airport
87.0,AFL,BCN,SVO,Barcelona International Airport,Sheremetyevo International Airport
103.0,RYR,BCN,SVQ,Barcelona International Airport,Sevilla Airport
87.0,VLG,BCN,SVQ,Barcelona International Airport,Sevilla Airport
96.0,VLG,BCN,SVQ,Barcelona International Airport,Sevilla Airport
96.0,VLG,BCN,SVQ,Barcelona International Airport,Sevilla Airport
87.0,EJU,BCN,SXF,Barcelona International Airport,Berlin-Schönefeld Airport
103.0,MAY,BCN,SXF,Barcelona International Airport,Berlin-Schönefeld Airport
87.0,VLG,BCN,TFN,Barcelona International Airport,Tenerife Norte Airport
87.0,VLG,BCN,TFN,Barcelona International Airport,Tenerife Norte Airport
23.0,VKA,BCN,TNG,Barcelona International Airport,Ibn Batouta Airport
103.0,RYR,BCN,VCE,Barcelona International Airport,Venice Marco Polo Airport
87.0,VLG,BCN,VCE,Barcelona International Airport,Venice Marco Polo Airport
87.0,VLG,BCN,VGO,Barcelona International Airport,Vigo Airport
87.0,LDM,BCN,VIE,Barcelona International Airport,Vienna International Airport
133.0,UPS,BCN,VLC,Barcelona International Airport,Valencia Airport
97.0,TAY,BCN,VLC,Barcelona International Airport,Valencia Airport
103.0,RYR,BCN,VLL,Barcelona International Airport,Valladolid Airport
77.0,SWR,BCN,ZRH,Barcelona International Airport,Zürich Airport
